,Time,Depth,Distance,Root Mean Square,Azimuthal Gap,Magnitude,Waveform
100,1293750510520,3.361,0.00991,0.04,158.0,0.51,md
101,1293749848120,3.307,0.009009,0.04,76.0,0.89,md
102,1293749572750,15.189,0.01821,0.09,110.0,0.69,ml
103,1293747769520,1.444,0.006306,0.06,36.0,1.85,md
104,1293746910260,2.53,0.08756,0.14,108.0,0.94,ml
105,1293746875610,0.744,0.006306,0.04,48.0,0.16,md
106,1293745949970,4.913,0.2708,0.04,278.0,0.99,ml
107,1293743685670,3.699,0.01081,0.04,155.0,0.56,md
108,1293743119370,3.138,0.01351,0.03,92.0,0.66,md
109,1293742832320,2.88,0.01261,0.03,90.0,0.55,md
110,1293740530730,7.087,0.03423,0.06,51.0,1.67,md
111,1293739679940,2.042,0.02072,0.04,118.0,0.51,md
112,1293739373050,5.267,0.09418,0.09,92.0,1.16,ml
113,1293738753830,7.781,0.1125,0.2,65.0,1.86,ml
114,1293737499800,0.705,0.009009,0.06,66.0,0.43,md
115,1293737135460,6.078,0.01441,0.1,54.0,0.54,md
116,1293737036230,2.303,0.002703,0.07,62.0,1.06,md
117,1293736819880,11.708,0.06305,0.13,71.0,1.09,ml
118,1293736712140,4.603,0.01171,0.03,197.0,0.07,md
119,1293736278120,0.835,0.008108,0.07,45.0,2.09,md
120,1293736063800,2.584,0.01171,0.03,163.0,0.51,md
121,1293735315850,7.905,0.0696,0.16,79.0,1.21,ml
122,1293734585890,11.274,0.09279,0.16,195.0,1.45,md
123,1293734489280,0.939,0.01081,0.01,73.0,0.43,md
124,1293733694040,4.257,0.02529,0.19,218.0,0.4,mh
125,1293732162870,-0.815,0.02342,0.02,167.0,0.57,md
126,1293731142460,0.243,0.02445,0.07,78.0,0.69,ml
127,1293730640820,4.394,0.1146,0.19,56.0,3.8,ml
128,1293730301910,0.635,0.009009,0.05,59.0,0.62,md
129,1293729547820,15.836,0.02077,0.13,110.0,1.01,ml
130,1293729377020,2.352,0.007207,0.07,50.0,1.33,md
131,1293728994940,1.806,0.01261,0.07,109.0,0.81,md
132,1293727457000,2.192,0.005405,0.03,208.0,-0.49,md
133,1293727053520,1.926,0.004505,0.01,86.0,0.96,md
134,1293726056670,0.28,0.009009,0.04,157.0,0.88,md
135,1293722662940,1.296,0.01441,0.06,70.0,1.32,md
136,1293720670050,1.593,0.01171,0.06,54.0,1.28,md
137,1293720213230,2.24,0.00991,0.07,80.0,1.48,md
138,1293719892220,1.802,0.00991,0.07,78.0,1.32,md
139,1293719602690,1.254,0.008108,0.06,63.0,0.46,md
140,1293719537080,1.439,0.009009,0.09,108.0,0.56,md
141,1293719462170,1.92,0.01497,0.16,71.0,1.63,ml
142,1293718185996,18.3,0.262,0.1655,293.13,1.1,ml
143,1293716588356,0.4,0.523,0.2223,240.36,1.3,ml
144,1293715485750,2.411,0.01351,0.02,175.0,0.43,md
145,1293714487550,2.9,0.04054,0.09,84.0,1.75,md
146,1293714033460,2.929,0.007207,0.05,74.0,0.49,md
147,1293713743040,1.431,0.1352,0.04,67.0,1.56,ml
148,1293712606800,0.84,0.1205,0.18,64.0,1.65,ml
149,1293712158930,2.456,0.0145,0.1,75.0,0.87,ml
150,1293711346700,6.987,0.04324,0.04,67.0,0.91,md
151,1293711154390,7.026,0.04324,0.08,51.0,2.11,md
152,1293705578534,8.7,0.239,0.0872,159.29,0.7,ml
153,1293703024560,-0.215,0.009009,0.02,166.0,0.53,md
154,1293702513712,6.1,0.119,0.0485,156.33,1.0,mb
155,1293702302106,9.3,0.191,0.1157,177.8,1.2,ml
156,1293701485780,1.067,0.002703,0.09,32.0,1.18,md
157,1293701002950,2.946,0.05631,0.06,185.0,0.5,mh
158,1293700460760,14.344,0.0515,0.14,124.0,1.04,ml
159,1293699862810,2.662,0.01982,0.03,73.0,0.62,md
160,1293699859500,5.254,0.04685,0.11,64.0,1.33,md
161,1293698017270,8.18,0.02532,0.2,68.0,1.68,ml
162,1293697370680,1.883,0.009009,0.02,81.0,0.45,md
163,1293695530720,1.675,0.0009009,0.06,72.0,0.8,md
164,1293695120550,3.917,0.09288,0.05,95.0,0.5,mh
165,1293692079840,1.923,0.01532,0.05,108.0,0.47,md
166,1293691766370,9.564,0.07207,0.06,63.0,0.99,md
167,1293691481580,1.898,0.01622,0.01,131.0,0.43,md
168,1293688398698,6.8,0.058,0.1008,128.38,1.5,ml
169,1293687909160,1.264,0.01171,0.02,87.0,0.39,md
170,1293685832260,2.119,0.009009,0.04,98.0,0.94,md
171,1293685775780,1.849,0.02793,0.03,93.0,0.68,md
172,1293685540160,0.572,0.005405,0.06,61.0,1.28,md
173,1293685464710,1.184,0.006306,0.04,63.0,0.87,md
174,1293685443930,1.102,0.006306,0.06,78.0,0.67,md
175,1293682416540,1.976,0.0009009,0.02,124.0,0.76,md
176,1293682209300,1.596,0.009009,0.04,124.0,0.42,md
177,1293682039250,2.786,0.001802,0.06,66.0,1.09,md
178,1293681106270,0.634,0.01622,0.01,97.0,0.95,md
179,1293680450430,1.493,0.0313,0.2,41.0,2.0,ml
180,1293679377070,0.042,0.006306,0.02,73.0,0.15,md
181,1293678594650,1.93,0.00991,0.03,71.0,0.88,md
182,1293677874370,2.43,0.01171,0.06,43.0,1.25,md
183,1293675720290,9.504,0.06396,0.05,47.0,1.09,md
184,1293674785780,1.605,0.003604,0.01,238.0,-0.1,md
185,1293672314440,4.63,0.01892,0.03,308.0,0.49,md
186,1293671985050,1.127,0.001802,0.01,228.0,0.32,md
187,1293671647200,7.401,0.0964,0.05,120.0,1.5,md
188,1293671526330,5.572,0.1334,0.14,42.0,2.23,ml
189,1293670947750,2.358,0.01532,0.06,300.0,0.46,md
190,1293665008330,1.405,0.00991,0.08,176.0,0.53,md
191,1293664212800,1.18,0.003604,0.05,115.0,0.98,md
192,1293664211640,9.404,0.02973,0.15,74.0,1.1,md
193,1293664091930,0.801,0.006306,0.04,48.0,0.87,md
194,1293663470290,8.992,0.04664,0.1,111.0,0.98,ml
195,1293661893240,7.287,0.04595,0.1,57.0,1.37,ml
196,1293661109630,7.774,0.04822,0.12,52.0,1.59,ml
197,1293660852720,2.949,0.007207,0.06,78.0,1.06,md
198,1293660482890,13.089,0.0427,0.06,213.0,0.91,ml
199,1293659563930,1.626,0.003604,0.02,118.0,0.43,md
200,1293658768140,4.891,0.5712,0.11,184.0,1.43,ml
201,1293657258670,6.38,0.07117,0.07,103.0,1.33,md
202,1293654694330,6.469,0.02528,0.06,129.0,0.31,ml
203,1293653955190,-0.197,0.01712,0.01,141.0,0.52,md
204,1293653362520,11.594,0.04541,0.13,111.0,0.4,ml
205,1293653339450,1.418,0.005405,0.01,161.0,0.46,md
206,1293651715570,7.297,0.003604,0.05,125.0,1.3,md
207,1293648393500,5.045,0.1505,0.35,121.0,2.03,md
208,1293648381090,1.066,0.1676,0.27,79.0,1.79,md
209,1293648105050,3.835,0.05856,0.04,151.0,1.08,md
210,1293647489730,12.62,0.1147,0.15,114.0,1.3,ml
211,1293646406870,24.704,0.2099,0.15,252.0,2.19,md
212,1293643871150,3.888,0.07459,0.13,70.0,1.62,ml
213,1293641066220,4.83,0.08598,0.1,75.0,1.04,ml
214,1293639302940,1.035,0.008108,0.04,98.0,0.5,md
215,1293639177680,5.588,0.172,0.27,70.0,1.17,ml
216,1293637693250,0.764,0.01171,0.05,37.0,1.77,md
217,1293637686870,0.934,0.009009,0.05,71.0,0.66,md
218,1293634692634,0.0,0.26,0.2009,215.52,2.0,ml
219,1293632630750,1.428,0.00991,0.02,95.0,0.69,md
220,1293632255640,5.608,0.07297,0.03,122.0,1.12,md
221,1293631130760,5.897,0.09279,0.06,131.0,1.52,md
222,1293630378250,-0.58,0.006306,0.04,78.0,0.72,md
223,1293630310445,6.2,0.367,0.1123,243.86,1.8,ml
224,1293629292580,4.886,0.382,0.21,237.0,1.82,ml
225,1293627779230,1.025,0.01712,0.04,96.0,0.43,md
226,1293625497080,5.187,0.03707,0.14,210.0,0.82,ml
227,1293625318600,1.993,0.00438,0.05,118.0,0.5,mh
228,1293623862170,5.13,0.00991,0.05,68.0,0.86,md
229,1293623729505,5.7,0.165,0.0306,295.7,0.9,mb
230,1293621664050,2.263,0.05856,0.13,96.0,1.44,md
231,1293620749960,-0.962,0.003604,0.05,165.0,0.81,md
232,1293620731430,4.373,0.09211,0.08,182.0,0.4,mh
233,1293620495200,6.584,0.1106,0.11,204.0,0.5,mh
234,1293620469450,7.568,0.1043,0.09,198.0,0.59,ml
235,1293620461150,8.985,0.1088,0.12,114.0,0.77,ml
236,1293618466990,1.19,0.009009,0.06,58.0,0.92,md
237,1293617975730,1.746,0.009009,0.04,66.0,1.22,md
238,1293617020360,11.18,0.04262,0.1,81.0,0.86,ml
239,1293616176590,0.136,0.01712,0.05,96.0,0.86,md
240,1293616148810,0.366,0.01532,0.08,49.0,1.63,md
241,1293611165030,-0.846,0.009009,0.06,132.0,0.42,md
242,1293609581760,3.51,0.01171,0.05,147.0,0.76,md
243,1293609472970,2.693,0.01081,0.06,86.0,1.43,md
244,1293609330900,2.231,0.004505,0.07,49.0,1.52,md
245,1293608349140,7.511,0.05495,0.08,167.0,1.15,md
246,1293607552970,10.806,0.02613,0.11,120.0,0.96,md
247,1293606150040,3.272,0.1261,0.03,145.0,0.76,md
248,1293605733380,9.534,0.05586,0.08,80.0,0.96,md
249,1293605500370,1.527,0.004505,0.01,128.0,0.4,md
250,1293604935718,5.9,0.022,0.0788,123.25,0.9,ml
251,1293604819320,4.98,0.01261,0.04,79.0,1.12,md
252,1293603914250,3.312,0.02252,0.11,99.0,0.5,md
253,1293603894170,1.097,0.005405,0.03,116.0,0.42,md
254,1293603151170,1.62,0.008108,0.04,77.0,0.66,md
255,1293603103550,3.111,0.01171,0.05,121.0,0.88,md
