County Name,Total Damaging Events,Rate of Damaging Events,Frequncy of Section,Reccurance Interval,Are of Section,Frequency of Section,Recurrence Interval,Area of Section,Probability,Latitude,Longitude,Radius
San_Mateo_County,,,,,,,,,,37.48478,-122.22815,1162
Santa_Barbara_County,270.0,54.0,14580.0,6.858710562414266e-05,7090.0,0.0,0.0,0.0,0.0,34.420868,-119.69833999999999,7090
Santa_Clara_County,50.0,10.0,500.0,0.002,3334.0,0.0,0.0,0.0,0.0,37.334793,-121.888145,3334
Santa_Cruz_County,,,,,,,,,,36.974140000000006,-122.0288,1154
Shasta_County,710.0,142.0,100820.0,9.918666931164453e-06,9806.0,0.0,0.0,0.0,0.0,40.76377,-122.04053,9806
Sierra_County,15.0,3.0,45.0,0.022222222222222227,2468.0,0.0,0.0,0.0,0.0,39.560383,-120.82808999999999,2468
Siskiyo_County,1490.0,298.0,444020.0,2.252150804017837e-06,16282.0,0.0,0.0,0.0,0.0,41.731583,-122.63565,16282
Solano_County,28.0,5.6,156.79999999999995,0.006377551020408164,3544.0,0.0,0.0,0.0,0.0,38.26709,-121.94,3544
Sonoma_County,45.0,9.0,405.0,0.0024691358024691358,4082.0,0.0,0.0,0.0,0.0,38.439696999999995,-122.715645,4082
Stanislaus_County,50.0,10.0,500.0,0.002,3872.0,0.0,0.0,0.0,0.0,37.55919,-120.99768,3872
Sutter_County,23.0,4.6,105.8,0.00945179584120983,1562.0,0.0,0.0,0.0,0.0,39.132220000000004,-121.62514499999999,1562
Tehama_County,101.0,20.2,2040.2,0.0004901480247034606,7242.0,0.0,0.0,0.0,0.0,40.176605,-122.234146,7242
Trinity_County,461.0,92.2,42504.2,2.3527086734957954e-05,8234.0,0.0,0.0,0.0,0.0,40.732758000000004,-122.94051,8234
Tulare_County,620.0,124.0,76880.0,1.3007284079084288e-05,12494.0,0.0,0.0,0.0,0.0,36.33012,-119.29888000000001,12494
Tuolumne_County,95.0,19.0,1805.0,0.000554016620498615,5790.0,0.0,0.0,0.0,0.0,37.982944,-120.38212,5790
Ventura_County,105.0,21.0,2205.0,0.000453514739229025,4780.0,0.0,0.0,0.0,0.0,34.40175,-119.12716999999999,4780
Yolo_County,35.0,7.0,245.0,0.004081632653061225,2620.0,0.0,0.0,0.0,0.0,38.677494,-121.77471000000001,2620
Yuba_County,20.0,4.0,80.0,0.0125,1632.0,0.0,0.0,0.0,0.0,39.141552000000004,-121.58768500000001,1632
